id;warehouse_id;city_id;street;house
607;607;169;Юнтоловский проспект;51
616;616;408;ул. Пермякова;1
617;617;258;ул. Соборная;8
626;626;721;пер. Красный;13
656;656;570;ул. Кошурникова;11.янв
657;657;181;ул. Днепровская;36
671;671;65;ул. Школьная;399
675;675;1179;ул. 2-я Заводская;6
678;678;96;ул. Докучаева;23
691;691;667;ул. Октябрьская;50
700;700;82;Ул. Чертановская;32с1
708;708;2265;ул. Ленина;15а
721;721;101;ул. Алексеева;19
726;726;506;ул. Зорге;58
729;729;322;ул. Спортивная;10
741;741;1921;ул. Парковая;1
749;749;145;ул. Юбилейная;14
751;751;703;ул. Московская;340
757;757;190;ул. 51-й Гвардейской Дивизии;30
770;770;521;ул. Свердлова;11
772;772;88;ул. Тургенева;48
